UnfallID;UJAHR;UMONAT;Jahr-Monat;UWOCHENTAG;USTUNDE;UKATEGORIE;UART;UTYP1;ULICHTVERH;STRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
8,20E+18;2020;1;2020-01;6;14;2;9;1;0;0;0;1;0;0;0;0;510512,2678;5287973,343;9,140234078;47,74504639
8,20E+18;2020;1;2020-01;6;12;3;5;3;0;0;1;1;0;0;0;0;512502,3037;5279837,487;9,166547759;47,67180763
8,20E+18;2020;1;2020-01;5;15;3;0;7;0;0;0;0;0;0;0;1;513454,3717;5279340,436;9,179215232;47,66731622
8,20E+18;2020;1;2020-01;5;10;3;5;2;0;0;1;1;0;0;0;0;513794,563;5280015,59;9,183767956;47,67338386
8,20E+18;2020;1;2020-01;4;19;3;5;2;2;0;0;1;0;1;0;0;511459,472;5280191,795;9,152665167;47,6750149
8,20E+18;2020;1;2020-01;4;8;3;2;6;0;1;0;1;0;1;0;0;513794,3141;5280020,15;9,183764784;47,6734249
8,20E+18;2020;1;2020-01;3;12;3;5;3;0;0;0;1;0;0;0;1;512280,0395;5280788,416;9,163613654;47,68036802
8,20E+18;2020;2;2020-02;7;9;3;0;1;0;0;1;0;0;0;0;0;513445,9525;5280300,889;9,179132657;47,67595823
8,20E+18;2020;2;2020-02;2;12;2;9;1;0;0;0;0;0;1;0;0;511885,876;5280021,176;9,158341133;47,67347203
8,20E+18;2020;2;2020-02;1;15;3;2;6;0;0;0;1;0;0;0;0;512111,4548;5278756,881;9,161311179;47,66209213
8,20E+18;2020;2;2020-02;4;14;3;1;6;0;1;0;1;0;0;0;0;512180,9521;5279271,048;9,162251138;47,66671714
8,20E+18;2020;2;2020-02;6;16;3;3;6;0;0;1;0;0;0;0;0;513132,5575;5280471,128;9,174962618;47,67749642
8,20E+18;2020;3;2020-03;4;15;3;0;4;0;0;0;0;1;0;0;1;513467,9767;5279360,948;9,179397085;47,6675005
8,20E+18;2020;3;2020-03;4;20;3;3;6;2;0;0;1;0;0;0;0;512499,8301;5279837,665;9,166514812;47,67180928
8,20E+18;2020;3;2020-03;4;17;2;4;1;0;0;0;0;0;1;0;0;510260,599;5287099,309;9,136856204;47,73718626
8,20E+18;2020;3;2020-03;7;13;3;5;3;0;0;0;1;0;0;0;0;510920,9419;5280543,261;9,145499587;47,6781866
8,20E+18;2020;3;2020-03;3;13;3;5;2;0;0;0;1;0;0;0;1;513699,524;5279717,149;9,182492513;47,67070061
8,20E+18;2020;3;2020-03;1;14;3;5;6;0;0;0;1;0;0;0;0;506277,6659;5289736,749;9,08376986;47,76096786
8,20E+18;2020;3;2020-03;7;15;3;0;1;0;0;0;0;0;1;0;0;513118,8745;5279692,052;9,174756917;47,67048684
8,20E+18;2020;3;2020-03;3;7;2;5;3;0;0;0;1;0;1;0;0;512123,609;5278735,011;9,161472452;47,66189512
8,20E+18;2020;4;2020-04;3;13;3;2;6;0;0;0;1;0;1;0;0;512177,3963;5279244,117;9,162203024;47,66647488
8,20E+18;2020;4;2020-04;1;13;3;0;1;0;0;1;0;0;0;0;0;509045,7251;5287318,65;9,120656775;47,73917798
8,20E+18;2020;4;2020-04;7;14;3;8;6;0;0;0;0;0;1;0;1;507541,573;5287087,005;9,100589601;47,73711307
8,20E+18;2020;4;2020-04;6;17;3;0;1;0;0;1;0;0;0;0;0;512683,5891;5279799,956;9,168961627;47,67146641
8,20E+18;2020;4;2020-04;6;14;3;0;1;0;0;1;0;0;0;0;0;513794,1936;5279996,68;9,183762438;47,67321372
8,20E+18;2020;4;2020-04;6;15;3;0;1;0;0;1;0;0;0;0;0;510902,8391;5282017,512;9,145295235;47,6914517
8,20E+18;2020;4;2020-04;2;17;3;8;1;0;0;1;0;0;0;0;0;513725,6901;5279784,365;9,182843185;47,67130485
8,20E+18;2020;4;2020-04;4;1;3;8;1;2;0;0;1;0;0;0;0;510232,277;5282761,081;9,136376549;47,69815304
8,20E+18;2020;5;2020-05;3;18;3;0;1;0;0;1;0;0;0;0;0;514846,5409;5280221,463;9,197789077;47,67521293
8,20E+18;2020;5;2020-05;4;12;3;1;5;0;0;1;1;0;0;0;0;513598,6684;5279525,736;9,181143055;47,66898047
8,20E+18;2020;5;2020-05;3;15;3;5;3;0;0;1;1;0;0;0;0;510909,5987;5280547,374;9,145348565;47,6782238
8,20E+18;2020;5;2020-05;6;15;3;0;1;0;0;1;0;0;0;0;0;508505,4028;5287215,497;9,113447663;47,7382572
